iter	Logloss
0	0.5396573427
1	0.4483828102
2	0.3773372672
3	0.3424706317
4	0.3037798347
5	0.2931681006
6	0.2907109333
7	0.2736087983
8	0.2532716168
9	0.234649457
10	0.2159482902
11	0.2086431461
12	0.1982544503
13	0.1830942705
14	0.1784359621
15	0.1720323992
16	0.1652978184
17	0.1571757101
18	0.1503784443
19	0.1434857732
20	0.1391725836
21	0.13358975
22	0.1292128914
23	0.1254758141
24	0.1232628648
25	0.1210091187
26	0.1164062559
27	0.1091348325
28	0.1030377646
29	0.1005623336
30	0.09559876014
31	0.09368473794
32	0.09248826368
33	0.08847397117
34	0.08689386942
35	0.08322922402
36	0.08084292832
37	0.07929635732
38	0.07727099326
39	0.07573687589
